,y_test,y_pred
12525,270118,283086.7555555556
3571,566461,429178.1165652886
12914,315314,312306.56666666665
3086,117034,130686.5
12586,402847,409479.6666666667
4725,220724,218518.4153910046
11611,131716,131264.63333333333
3146,201112,237745.15643578643
447,179011,186876.70833333334
8466,84293,82979.75559440558
8910,247731,274512.6311595402
6918,401583,427218.1212024925
4894,138252,158038.5925885226
5032,261570,260221.5642589636
9686,198481,191807.33333333334
4336,256244,251303.7229417906
10955,115878,112219.33333333331
7012,178400,146445.07294973545
9340,86518,88118.22810559005
6711,131207,143189.54444165967
6569,443179,425759.0442758055
512,166180,166451.55230158727
1924,364408,352109.0652619602
6018,1294113,1243908.3666666667
7119,306478,296754.43389999744
12568,332988,342856.0
3490,251605,292177.2775633136
2450,113803,107387.65065222632
6201,268167,284727.5376250601
1376,261460,266090.48136173765
5470,137652,127388.18071583653
9542,389386,405620.3044444445
5668,644322,661138.1372661723
12841,218178,219454.58702937458
11252,100959,115082.03333333334
13159,191674,190202.28489173777
13326,91430,92374.01753968254
8666,281159,293741.9372281851
3408,189485,184596.08693559715
9714,292515,292437.6666666667
4222,83416,82768.1613739172
10976,135797,132790.04761904763
1700,271214,273741.11518324405
13475,188544,191223.8
9386,127450,129460.19583333333
626,98559,100179.01944444445
505,163899,165434.31944444447
1668,275720,273907.6787982456
2662,473105,384704.52923475916
3693,266792,262171.242089372
9721,304679,350958.56666666665
12302,267333,274942.9666666667
11556,130950,133342.86666666667
10505,422510,431053.3333333333
1147,264488,290249.9778619529
6038,82561,84747.9888888889
4711,222620,217533.6334862962
6425,203618,203606.35112113657
2388,373886,377674.61067940446
3732,355963,221610.05267769733
13317,83261,82907.03791666667
12786,214854,213297.54722222223
716,276811,268651.1
1489,493489,486037.88371212117
5489,195606,231213.4417161836
3612,570665,549554.4755561197
5434,95030,92657.46464285716
9912,1096072,1044745.2
1928,348785,346912.7088263588
11868,144167,144293.0
10442,260790,259365.39790394792
13338,110001,106362.29361111112
55,160905,175130.38200746969
13164,189236,190432.53878806488
13396,188814,194079.36666666667
6587,530361,501694.2997442792
4824,74189,73619.50059323283
5948,1189245,1194678.6333333333
4935,214923,212299.37506204844
10207,586942,581644.8
2699,461320,477508.50363768265
8803,147004,138368.3946237295
827,385629,383303.27714285714
7238,54586,54417.96986772486
7506,343800,371588.0707053641
1680,248667,258361.20106015037
5114,401452,404328.7476696128
11564,136774,152282.9722222222
1267,137261,137456.78598024315
8858,227543,221884.5074680483
5386,391460,400642.1294484188
7670,242858,241992.03161881145
5930,933654,1041172.65
9536,392743,389172.27142857143
6246,346125,342796.82615342806
12730,137154,163006.26873015874
3603,543467,549582.2397343979
4926,205899,195212.20990091315
2617,321734,321684.0690740741
5102,411591,411634.2753188869
12136,132917,128483.45494708995
2589,287882,282450.44080856984
13505,228430,231015.50833333333
5367,347485,377513.8274803785
10951,98505,112150.07777777777
